                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1415,                0.59682,                 1.0471,                0.93133,                0.90771,                0.94109,                0.52693,                  1.601,                0.58028,                 1.3488,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1365,                0.59686,                 1.0419,                0.93762,                 0.9059,                0.93952,                0.53417,                  1.606,                0.57673,                 1.3582,               0.008317,               0.008317,               0.008317
                     36,                 1.1239,                0.58436,                 1.0415,                0.92425,                0.91674,                0.93925,                0.53241,                 1.5873,                0.57099,                 1.3734,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1202,                0.58793,                 1.0416,                0.93653,                0.92042,                0.94785,                0.52765,                 1.5982,                0.58788,                 1.3304,               0.008218,               0.008218,               0.008218
                     38,                 1.1097,                0.57965,                  1.031,                0.93114,                0.92955,                0.94296,                0.52695,                 1.5792,                 0.5683,                 1.3395,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0951,                0.56992,                 1.0267,                0.93558,                0.92526,                0.94129,                0.53088,                 1.5882,                0.56601,                 1.3624,               0.008119,               0.008119,               0.008119
                     40,                 1.0918,                0.56996,                  1.033,                0.93254,                0.93525,                0.94367,                0.52743,                 1.5932,                0.56175,                 1.3434,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.084,                0.56943,                 1.0289,                0.94195,                0.93076,                0.95093,                0.53296,                 1.5952,                0.56481,                 1.3615,                0.00802,                0.00802,                0.00802
                     42,                  1.079,                0.56409,                 1.0243,                0.94544,                0.92115,                0.94936,                0.53397,                  1.571,                0.55942,                 1.3386,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0663,                0.55801,                 1.0191,                0.93745,                0.92242,                0.94399,                0.53823,                 1.5644,                0.56549,                 1.3516,               0.007921,               0.007921,               0.007921
                     44,                 1.0689,                0.55524,                 1.0181,                0.95322,                0.92379,                0.94163,                0.54092,                 1.5532,                0.55678,                 1.3346,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0555,                0.55234,                 1.0156,                0.93965,                0.92592,                0.93987,                 0.5418,                  1.576,                 0.5585,                 1.3356,               0.007822,               0.007822,               0.007822
                     46,                 1.0505,                0.54867,                 1.0147,                0.93585,                0.92911,                0.94809,                0.54488,                 1.5653,                0.56061,                 1.3454,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0422,                0.54385,                 1.0104,                0.94585,                0.92127,                0.95197,                0.54216,                 1.5616,                0.56994,                 1.3389,               0.007723,               0.007723,               0.007723
                     48,                 1.0297,                0.53581,                 1.0027,                0.94277,                0.92585,                 0.9441,                0.54196,                  1.563,                0.55017,                 1.3492,              0.0076735,              0.0076735,              0.0076735
