                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.66111,                0.35609,                0.88197,                0.93566,                0.94587,                0.95176,                0.60246,                 1.3421,                 0.4908,                 1.2697,              0.0025255,              0.0025255,              0.0025255
                    153,                0.66325,                0.35725,                0.88423,                0.94497,                0.93682,                0.95129,                0.60328,                 1.3408,                0.49076,                 1.2698,               0.002476,               0.002476,               0.002476
                    154,                0.65983,                0.35788,                  0.884,                0.94418,                0.93766,                0.95176,                0.60411,                 1.3398,                0.49117,                 1.2695,              0.0024265,              0.0024265,              0.0024265
                    155,                0.65064,                0.35257,                0.88084,                0.94407,                0.93682,                0.95156,                0.60479,                 1.3394,                0.49146,                 1.2696,               0.002377,               0.002377,               0.002377
                    156,                0.65345,                 0.3536,                0.88144,                0.94723,                0.93482,                0.95159,                0.60568,                 1.3385,                0.49211,                 1.2697,              0.0023275,              0.0023275,              0.0023275
                    157,                0.65366,                0.35333,                 0.8818,                0.94637,                0.93398,                0.95186,                0.60629,                 1.3375,                0.49136,                 1.2695,               0.002278,               0.002278,               0.002278
                    158,                0.64857,                0.35145,                0.88286,                0.93575,                0.94587,                0.95181,                0.60632,                 1.3375,                0.49182,                 1.2697,              0.0022285,              0.0022285,              0.0022285
                    159,                0.64964,                0.35274,                0.88142,                0.93574,                0.94327,                0.95185,                0.60656,                  1.336,                 0.4922,                 1.2698,               0.002179,               0.002179,               0.002179
                    160,                0.64121,                0.34849,                0.87901,                 0.9357,                0.94318,                0.95185,                0.60777,                 1.3354,                0.49127,                 1.2698,              0.0021295,              0.0021295,              0.0021295
                    161,                0.64113,                0.34908,                0.87941,                 0.9406,                0.94131,                0.95184,                0.60808,                 1.3349,                0.49182,                 1.2697,                0.00208,                0.00208,                0.00208
                    162,                0.63598,                0.34512,                0.87651,                0.94643,                0.93398,                0.95194,                0.60813,                 1.3338,                0.49186,                 1.2694,              0.0020305,              0.0020305,              0.0020305
                    163,                0.63752,                0.34803,                0.87735,                0.94645,                0.93398,                0.95186,                0.60657,                 1.3331,                0.49154,                 1.2693,               0.001981,               0.001981,               0.001981
                    164,                0.63969,                0.34772,                 0.8793,                0.94676,                0.93417,                0.95191,                0.60697,                 1.3326,                0.49144,                 1.2693,              0.0019315,              0.0019315,              0.0019315
                    165,                0.63286,                0.34203,                0.87408,                0.93981,                0.94066,                0.95202,                0.60851,                 1.3317,                0.49158,                 1.2691,               0.001882,               0.001882,               0.001882
                    166,                0.62834,                0.34262,                0.87527,                0.94672,                0.93422,                0.95203,                 0.6094,                 1.3303,                0.49172,                 1.2685,              0.0018325,              0.0018325,              0.0018325
                    167,                0.62966,                0.34227,                0.87615,                0.93892,                0.94314,                0.95221,                0.60964,                 1.3292,                0.49102,                 1.2685,               0.001783,               0.001783,               0.001783
                    168,                0.62565,                0.34093,                0.87406,                0.93729,                0.94479,                0.95232,                0.60915,                  1.329,                0.49067,                 1.2681,              0.0017335,              0.0017335,              0.0017335
                    169,                0.62001,                0.33804,                0.87201,                0.94755,                0.93509,                0.95225,                0.60971,                 1.3282,                0.49129,                  1.268,               0.001684,               0.001684,               0.001684
                    170,                0.62413,                0.33838,                0.87394,                0.94842,                0.93591,                0.95309,                0.60964,                 1.3272,                0.49094,                 1.2675,              0.0016345,              0.0016345,              0.0016345
                    171,                 0.6146,                0.33687,                  0.872,                0.94837,                0.93592,                0.95304,                0.61014,                 1.3266,                0.49071,                 1.2678,               0.001585,               0.001585,               0.001585
                    172,                 0.6213,                 0.3381,                 0.8731,                0.94838,                0.93591,                0.95327,                 0.6104,                 1.3264,                0.49122,                 1.2676,              0.0015355,              0.0015355,              0.0015355
                    173,                0.61072,                0.33447,                0.87106,                0.93818,                0.94555,                0.95278,                0.60989,                 1.3256,                0.49108,                 1.2676,               0.001486,               0.001486,               0.001486
                    174,                0.60859,                0.33405,                0.87019,                0.93819,                0.94558,                 0.9534,                0.61048,                 1.3255,                0.49081,                 1.2676,              0.0014365,              0.0014365,              0.0014365
                    175,                0.60516,                0.33102,                0.86814,                0.93816,                0.94562,                0.95344,                0.61109,                 1.3249,                0.49105,                 1.2674,               0.001387,               0.001387,               0.001387
                    176,                0.60731,                0.33366,                0.87042,                0.93897,                0.94648,                0.95457,                0.61066,                 1.3236,                 0.4903,                 1.2669,              0.0013375,              0.0013375,              0.0013375
                    177,                0.60185,                 0.3308,                0.87035,                0.93901,                0.94645,                0.95376,                0.61067,                 1.3229,                0.49028,                 1.2668,               0.001288,               0.001288,               0.001288
                    178,                0.60071,                 0.3286,                0.86827,                0.93814,                0.94568,                0.95363,                0.61136,                 1.3224,                 0.4908,                 1.2669,              0.0012385,              0.0012385,              0.0012385
                    179,                0.59144,                0.32675,                0.86549,                0.93736,                0.94479,                0.95297,                0.61163,                 1.3216,                0.49041,                 1.2667,               0.001189,               0.001189,               0.001189
                    180,                0.59198,                0.32584,                 0.8664,                0.93877,                0.94476,                0.95373,                0.61199,                 1.3204,                0.49094,                  1.266,              0.0011395,              0.0011395,              0.0011395
                    181,                 0.5962,                 0.3271,                0.86435,                0.93816,                0.94486,                0.95371,                0.61138,                 1.3206,                0.49079,                 1.2659,                0.00109,                0.00109,                0.00109
                    182,                0.58989,                0.32479,                 0.8643,                0.93734,                0.94413,                0.95186,                0.61243,                 1.3197,                 0.4902,                 1.2661,              0.0010405,              0.0010405,              0.0010405
                    183,                0.58898,                0.32375,                0.86297,                0.93728,                0.94341,                 0.9519,                0.61201,                 1.3188,                0.49066,                 1.2662,               0.000991,               0.000991,               0.000991
                    184,                0.58262,                0.32152,                0.86259,                0.93727,                0.94336,                0.95208,                0.61246,                 1.3185,                0.49114,                 1.2659,              0.0009415,              0.0009415,              0.0009415
                    185,                0.58747,                 0.3222,                0.86485,                0.93736,                0.94497,                0.95169,                0.61293,                 1.3176,                0.49097,                 1.2656,               0.000892,               0.000892,               0.000892
                    186,                0.57658,                0.31926,                0.86327,                0.93721,                0.94411,                0.95199,                 0.6123,                 1.3169,                0.49026,                  1.266,              0.0008425,              0.0008425,              0.0008425
                    187,                0.57718,                0.31945,                0.86092,                0.93726,                0.94309,                0.95203,                0.61394,                  1.317,                0.48965,                 1.2666,               0.000793,               0.000793,               0.000793
                    188,                0.57738,                0.32052,                0.86314,                0.93797,                0.94237,                0.95215,                0.61446,                 1.3153,                0.49076,                 1.2662,              0.0007435,              0.0007435,              0.0007435
                    189,                 0.5759,                0.31911,                0.86151,                0.93802,                0.94406,                0.95211,                0.61443,                 1.3144,                0.49026,                  1.266,               0.000694,               0.000694,               0.000694
                    190,                0.52928,                0.28204,                0.84749,                0.93804,                0.94408,                 0.9522,                 0.6148,                 1.3136,                0.49095,                 1.2661,              0.0006445,              0.0006445,              0.0006445
                    191,                0.50638,                0.27318,                0.83924,                0.93728,                0.94411,                0.95223,                 0.6153,                 1.3126,                0.49067,                 1.2656,               0.000595,               0.000595,               0.000595
                    192,                0.50067,                0.27063,                0.83968,                0.93796,                 0.9423,                0.95225,                0.61544,                 1.3115,                0.49142,                 1.2656,              0.0005455,              0.0005455,              0.0005455
                    193,                0.49471,                0.26892,                0.83752,                0.93885,                0.93978,                 0.9509,                0.61565,                 1.3109,                0.49171,                 1.2658,               0.000496,               0.000496,               0.000496
                    194,                0.48909,                0.26608,                0.83597,                 0.9413,                0.94065,                0.95218,                0.61619,                 1.3098,                0.49127,                 1.2657,              0.0004465,              0.0004465,              0.0004465
                    195,                0.48685,                0.26476,                0.83598,                0.94138,                0.94062,                0.95229,                0.61618,                 1.3097,                0.49211,                  1.266,               0.000397,               0.000397,               0.000397
                    196,                0.48452,                0.26431,                0.83669,                 0.9423,                0.93975,                 0.9523,                0.61584,                 1.3087,                0.49215,                 1.2659,              0.0003475,              0.0003475,              0.0003475
                    197,                0.48164,                0.26184,                0.83618,                 0.9431,                0.94062,                0.95261,                0.61666,                  1.308,                0.49253,                 1.2661,               0.000298,               0.000298,               0.000298
                    198,                0.48198,                 0.2621,                0.83542,                0.94393,                0.94144,                0.95469,                0.61736,                 1.3074,                0.49275,                 1.2663,              0.0002485,              0.0002485,              0.0002485
                    199,                0.47502,                 0.2593,                0.83417,                0.94309,                0.94137,                0.95402,                0.61731,                 1.3059,                0.49162,                 1.2661,               0.000199,               0.000199,               0.000199
